GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JitaKyoei,org.fpij.jitakyoei.view.forms,EnderecoForm,143,0,0,0,39,0,16,0,16,0
JitaKyoei,org.fpij.jitakyoei.view.forms,FiliadoForm.AdicionarFaixaActionHandler,29,0,0,0,4,0,2,0,2,0
JitaKyoei,org.fpij.jitakyoei.business,ProfessorEntidadeBOImpl,14,41,0,2,5,13,0,4,0,3
JitaKyoei,org.fpij.jitakyoei.business,ProfessorBOImpl,56,53,0,0,20,21,0,7,0,7
JitaKyoei,org.fpij.jitakyoei.business,AlunoBOImpl,64,58,1,1,24,22,2,6,1,6
JitaKyoei,org.fpij.jitakyoei.business,EntidadeBOImpl,56,51,0,0,20,21,0,7,0,7
JitaKyoei,org.fpij.jitakyoei.model.beans,Aluno,45,42,8,0,7,15,6,9,2,9
JitaKyoei,org.fpij.jitakyoei.model.beans,Rg,57,3,6,0,16,1,10,1,7,1
JitaKyoei,org.fpij.jitakyoei.model.beans,Entidade,46,48,5,1,13,16,7,11,4,11
JitaKyoei,org.fpij.jitakyoei.model.beans,ProfessorEntidade,37,23,6,0,9,7,6,4,3,4
JitaKyoei,org.fpij.jitakyoei.model.beans,Professor,27,41,5,1,7,9,6,5,3,5
JitaKyoei,org.fpij.jitakyoei.model.beans,Faixa,39,0,0,0,13,0,7,0,7,0
JitaKyoei,org.fpij.jitakyoei.model.beans,Endereco,54,26,0,0,8,12,7,7,7,7
JitaKyoei,org.fpij.jitakyoei.model.beans,Filiado,83,144,6,0,29,37,21,13,18,13
JitaKyoei,org.fpij.jitakyoei.view.gui,AlunoPanel,155,0,0,0,31,0,5,0,5,0
JitaKyoei,org.fpij.jitakyoei.view.gui,AlunoAtualizarPanel,145,0,0,0,30,0,5,0,5,0
JitaKyoei,org.fpij.jitakyoei.view.gui,ProfessorBuscarPanel,196,0,0,0,33,0,5,0,5,0
JitaKyoei,org.fpij.jitakyoei.view.gui,FiliadoPanel,711,0,0,0,135,0,17,0,17,0
JitaKyoei,org.fpij.jitakyoei.view.gui,AlunoBuscarPanel.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
JitaKyoei,org.fpij.jitakyoei.view.gui,ProfessorPanel,197,0,0,0,39,0,6,0,6,0
JitaKyoei,org.fpij.jitakyoei.view.gui,SobrePanel,31,0,0,0,8,0,2,0,2,0
JitaKyoei,org.fpij.jitakyoei.view.gui,MainAppFrame,911,0,0,0,173,0,6,0,6,0
JitaKyoei,org.fpij.jitakyoei.view.gui,MainAppFrame.new WindowAdapter() {...},16,0,0,0,5,0,3,0,3,0
JitaKyoei,org.fpij.jitakyoei.view.gui,EntidadeCadastrarPanel,122,0,0,0,26,0,5,0,5,0
JitaKyoei,org.fpij.jitakyoei.view.gui,EntidadePanel,210,0,0,0,43,0,7,0,7,0
JitaKyoei,org.fpij.jitakyoei.view.gui,ProfessorCadastrarPanel,166,0,0,0,34,0,5,0,5,0
